category,item
Main Subject,Human
Main Subject,Animal
Main Subject,Mythical Beast
Main Subject,Alien
Main Subject,Environment
Style,Realistic
Style,Cartoon
Style,Sketch
Style,Digital painting
Style,Watercolor
Style,3D render
Style,Minimalist
Style,Abstract
Style,Impressionist
Background,A bustling city street
Background,A tranquil forest
Background,A sunny beach
Background,A snowy mountain
Background,A medieval village
Background,A space station
Setting,Indoors
Setting,Outdoors
Setting,Urban
Setting,Rural
Setting,Fantasy world
Lighting,Bright daylight
Lighting,Soft morning light
Lighting,Golden hour
Lighting,Moonlight
Lighting,Candlelight
Colors,Vibrant and colorful
Colors,Monochrome
Colors,Pastel shades
Colors,Cool tones
Colors,Warm tones
Mood,Vibrant and colorful
Mood,Monochrome
Mood,Pastel shades
Mood,Cool tones
Mood,Warm tones
Details,Textured fabric
Details,Intricate patterns
Details,Specific accessories
Details,Facial expressions
Details,Background elements